airport	out_degree	in_degree	degree	longtitude	latitude
PEK	318	317	108	116.584556	40.080111
CTU	273	273	84	103.947086	30.578528
XIY	262	260	77	108.751592	34.447119
CKG	241	241	74	106.641678	29.719217
KMG	236	235	71	102.743536	24.992364
CAN	233	233	94	113.298786	23.392436
SZX	206	206	73	113.810664	22.639258
HGH	201	201	52	120.434453	30.229503
PVG	191	192	70	121.805214	31.143378
XMN	186	186	54	118.127739	24.544036
SHA	179	180	62	121.336319	31.197875
CSX	167	166	59	113.219633	28.189158
WUH	159	159	53	114.2081	30.783758
CGO	157	157	47	113.840889	34.519672
TAO	149	150	41	120.374436	36.266108
NKG	136	136	41	118.862025	31.742042
KWE	132	132	44	106.800703	26.538522
TSN	128	128	43	117.346183	39.124353
URC	121	121	38	87.474244	43.907106
TNA	118	118	33	117.215992	36.857214
DLC	113	113	48	121.5386	38.965667
HRB	111	111	45	126.250328	45.623403
SHE	105	105	48	123.2901	41.3824
FOC	104	104	34	119.663272	25.935064
TYN	103	103	42	112.628428	37.746897
SYX	102	102	37	109.412272	18.302897
HAK	97	96	34	110.458961	19.934856
NNG	95	95	30	108.172442	22.608267
KWL	94	95	35	110.039197	25.218106
HET	83	83	34	111.824103	40.851422
LHW	80	80	30	103.617	36.117
KHN	79	79	33	115.9	28.865
SJW	77	77	33	114.6973	38.280686
WNZ	74	74	28	120.852	27.9122
NAY	74	74	37	116.387778	39.7825
HFE	68	68	29	117.298436	31.780019
NGB	67	67	28	121.461906	29.826683
INC	62	63	28	106.009167	38.481944
ZUH	60	59	24	113.376	22.0064
LJG	60	60	30	100.23333	26.883333
CGQ	59	59	25	125.1201	43.5412
XNN	49	50	19	102.043	36.5275
YNT	47	47	19	121.371667	37.401667
JJN	39	39	15	118.59	24.7964
WUX	38	38	14	120.429	31.4944
CZX	37	37	18	119.711667	31.941667
SWA	32	33	21	116.683	23.4
YCU	29	29	18	110.993	35.018
BAV	29	29	17	109.997	40.56
LXA	28	28	14	90.911944	29.297778
DSN	25	25	19	110.033	39.85
YIH	23	23	13	111.441	30.671
JHG	23	23	8	100.759611	21.973914
TXN	22	22	15	118.256	29.7333
MIG	22	21	16	104.741	31.4281
BHY	20	20	15	109.294	21.5394
DYG	19	19	11	110.443	29.1028
ZHA	18	18	12	110.358	21.2144
YTY	18	18	14	119.715	32.5617
YIW	18	18	14	120.032	29.3447
NTG	18	18	13	120.976	32.0708
LYI	18	18	10	118.412	35.0461
XUZ	16	16	11	117.11	34.16
JZH	16	16	7	103.683	32.857
JDZ	16	16	15	117.176	29.3386
HLD	16	16	5	119.825	49.204997
CIH	16	16	8	113.126	36.2475
LYG	15	15	12	119.25	34.55
CIF	15	15	10	118.908	42.235
WUS	14	14	13	118.001	27.7019
LZH	14	14	11	109.391	24.2075
HYN	14	14	8	121.429	28.5622
YNZ	13	13	8	120.125	33.3856
XFN	13	13	9	112.291	32.1506
TGO	13	13	4	122.2	43.5567
LZO	13	13	10	105.393	28.8522
